Date, Bray, Bray, Proportion LH
2024-03-15,613.3,526.4000000000001,0.46187593226287627
2024-03-16,311.9,205.10000000000002,0.39671179883945845
2024-03-17,4256.2000000000035,2219.2999999999997,0.34272256968573833
2024-03-18,890.5,1345.0999999999997,0.6016729289676149
2024-03-20,710.9000000000001,338.8,0.3227588834905211
2024-03-22,1049.3,325.00000000000006,0.2364840282325548
2024-03-23,1159.6999999999996,710.8000000000001,0.38000534616412734
2024-03-24,1995.9999999999995,1143.6499999999994,0.3642603474909623
2024-03-27,536.9,227.10000000000002,0.2972513089005236
2024-03-29,1501.0999999999992,590.3,0.2822511236492303
2024-03-30,1527.4499999999994,830.2,0.35213029923864875
2024-03-31,2399.0999999999995,1211.8999999999996,0.3356134034893381
2024-04-01,1171.7499999999998,611.1999999999999,0.34280265851538183
2024-04-03,1162.8999999999996,511.9,0.3056484356341056
2024-04-05,1481.2999999999995,366.4,0.19830058992260655
2024-04-07,2481.6999999999994,828.1999999999998,0.25021903985014654
2024-04-10,747.5000000000001,242.40000000000003,0.24487321951712296
2024-04-12,1722.9999999999993,383.6,0.18209437007500243
2024-04-13,2509.3999999999996,1090.3999999999996,0.3029057169842769
2024-04-14,2772.3999999999996,1248.4,0.3104854755272583
2024-04-16,538,139.5,0.2059040590405904
2024-04-19,1228.1999999999998,342.4,0.21800585763402522
2024-04-20,4007.7500000000005,2329.199999999999,0.36755852578922027
2024-04-21,5214.800000000005,2787.7999999999997,0.3483617824207131
2024-04-23,2368.9999999999995,158.6,0.06274727013768003
2024-04-24,666.5999999999999,245.9,0.26947945205479457
2024-04-25,518.2,221.79999999999998,0.2997297297297297
2024-04-26,1794.5999999999995,804.6999999999999,0.3095833493632902
2024-04-27,2541.2999999999997,771.7,0.2329308783579837
2024-04-28,3213.7000000000003,1202,0.27221052154811237
2024-05-01,1479.889999999999,738.3999999999997,0.33286901171623196
2024-05-02,1177.8999999999996,562,0.32300706937180307
2024-05-03,1196.15,312.4,0.20708627489973813
2024-05-04,1451.2999999999993,557.2,0.2774209609161067
2024-05-05,6101.7000000000035,3035.4500000000007,0.33220971528321186
2024-05-08,1728.6999999999996,877.8,0.3367734509879149
2024-05-09,2801.700000000001,1198.2999999999995,0.2995749999999998
2024-05-10,4669.4000000000015,1232.1000000000001,0.2087774294670846
2024-05-11,5181.500000000004,1635.7999999999993,0.23994836665542055
2024-05-12,4503.400000000001,2718.34,0.376410671112502
2024-05-15,3035.699999999999,1601.2999999999995,0.34533103299547124
2024-05-16,1794.9999999999984,820.8999999999999,0.313811690049314
2024-05-17,1862.1999999999991,488.80000000000007,0.2079115270097832
2024-05-18,3050.8,1291.6999999999998,0.2974553828439838
2024-05-19,5049.600000000004,2167.3,0.3003089969377432
2024-05-21,2423.299999999999,1332.3999999999999,0.354767420187981
2024-05-22,1046.1999999999998,376.2,0.2644825646794151
2024-05-23,565.1500000000001,343.00000000000006,0.37769091009194516
